,PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
4740,2/27/2021,UT2043XA,R1,99.6368,100.0,93.1034,0.0913,90.0,0.1213,0.0919,-104.555,99.8801,483.40395099999995,2646.8822649999997,0,874.454989112988
4741,2/27/2021,UT2100XA,R3,99.6132,99.9927,90.3226,0.0328,98.2989,0.2586,0.1894,-102.15,99.8807,438.07570599999997,2639.6130789999997,0,1485.02882923588
4742,2/27/2021,UT2108XF,R3,99.1736,99.8392,100.0,0.2481,100.0,0.2513,0.3028,-105.59,99.8442,425.296138,1782.2052609999998,0,76.851767866475
4743,2/27/2021,UT2117XG,R3,99.6914,100.0,100.0,0.1307,94.4444,0.0643,0.0726,-105.37,99.8092,506.468756,3284.2679980000003,0,112.6796228123
4744,2/27/2021,UT2165XF,R3,99.7727,99.8354,100.0,0.5834,97.0588,0.059000000000000004,0.0448,-104.94,99.7921,626.315565,3386.501775,0,131.168762086775
4745,2/27/2021,UT2236XA,R3,99.7229,99.9748,97.1963,0.129,91.6667,0.29100000000000004,0.2041,-101.92,99.9058,360.878348,1530.220674,0,1353.1492877497599
4746,2/27/2021,UT2243XB,R3,99.7677,100.0,100.0,0.0,100.0,0.0539,0.0669,-104.82,99.9377,488.341914,5172.894434000001,0,312.9685400261
4747,2/27/2021,UT2265XB,R3,99.0837,99.94200000000001,94.5946,0.1484,91.2162,0.4265,0.3072,-104.7033,99.6536,300.95860899999997,1949.6929120000002,0,1013.413413872
4748,2/27/2021,UT2267XC,R3,99.8125,100.0,93.3333,0.1144,95.9459,0.1096,0.1309,-102.0833,99.9406,449.923467,2470.170625,0,805.9649651486
4749,2/27/2021,UT2268XB,R3,99.8617,99.9877,98.6755,0.0559,83.5052,0.1311,0.1322,-100.8,99.9512,400.739584,1970.464064,0,2112.5247917553
4750,2/27/2021,UT2271XA,R3,99.3294,99.9774,100.0,0.1076,97.0588,0.1686,0.1666,-104.4067,99.9175,478.019567,2776.931869,0,480.38768895050003
4751,2/27/2021,UT2017XG,R1,99.86200000000001,100.0,100.0,0.0665,100.0,0.1299,0.1206,-105.94,100.0,479.676542,2851.781463,0,152.3105229972
4752,2/27/2021,UT2026XA,R1,99.9072,99.9573,91.5966,0.18899999999999997,95.8333,0.0724,0.0674,-102.31,99.9381,392.85148300000003,2662.605489,0,1223.4515219332002
4753,2/27/2021,UT2030XC,R1,99.7653,99.9333,94.8905,0.1182,81.6514,0.1376,0.1162,-102.6925,99.8389,345.564499,2375.374866,0,1258.9870792737402
4754,2/27/2021,UT2059XD,R1,99.0019,99.956,91.25,0.5666,85.9459,0.4084,0.2586,-105.4467,99.464,290.058339,1344.7284619999998,0,654.781070783788
4755,2/27/2021,UT2187XB,R3,99.6438,100.0,92.4419,0.1394,71.1864,0.2002,0.2011,-101.02,99.8674,407.60123500000003,1888.905454,0,1633.4298097004
